thing_noun	causa
never_adv	iam
face_noun	facies
stand_verb	constare
people_noun	populus
turn_verb	tornare
moment_noun	momentum
word_noun	phrase
voice_noun	vocem
let_verb	laxare
place_noun	platea
girl_noun	garrulus
pass_verb	passus
hour_noun	hora
cry_verb	quiritare
sort_noun	sortem
poor_adj	pauper
suppose_verb	supponere
course_noun	cursus
remember_verb	rememorari
table_noun	tabula
book_noun	librum
letter_noun	littera
part_noun	partem
fact_noun	factum
sure_adj	securus
read_verb	legere)
matter_noun	materia
sense_noun	sensus
air_noun	aer
question_noun	quaestionem
marry_verb	marītāre
money_noun	moneta
boy_noun	boia
move_verb	movere
minute_noun	minuta
idea_noun	idea
mary_propn	Maria
stop_verb	stuppa
strange_adj	extraneus
large_adj	largus
’_verb	caduceus
appear_verb	apparere
person_noun	persona
chair_noun	cathedra
catch_verb	captare
silence_noun	silentium
case_noun	casus
expect_verb	expectare/exspectare
point_noun	pungere
add_verb	addere
reason_noun	rationem
carry_verb	carrum
wall_noun	vallum
tone_noun	tonus
stay_verb	stare
possible_adj	possibilis
story_noun	historia
paper_noun	papyrus
sister_noun	soror
nature_noun	natura
human_adj	humanus
family_noun	familia
country_noun	contra
enter_verb	intrare
remain_verb	remanere
continue_verb	continuare
afraid_adj	ex
clear_adj	clarus
different_adj	differentem
dinner_noun	ieiunus
power_noun	potis
spirit_noun	spiritus
pay_verb	pacare
able_adj	habilem
position_noun	positionem
allow_verb	allocare
round_adv	rotundus
brother_noun	germanus
silent_adj	silentem
real_adj	res
exclaim_verb	exclamare
conversation_noun	conversationem
ear_noun	auricula
pleasure_noun	placere
impossible_adj	impossibilis
order_noun	ordinem
save_verb	salvus
repeat_verb	repetere
view_noun	videre
fine_adj	finis
uncle_noun	avunculus
note_noun	notare
subject_noun	subjectum
receive_verb	recipere
usual_adj	usus
wrong_adj	tortus
marriage_noun	maritatus
trouble_noun	turbidus
companion_noun	com
party_noun	partire/partiri
present_adj	praesentem
beauty_noun	bellus
consider_verb	considerare
presence_noun	praesentia
quiet_adj	quies
offer_verb	offerre
duty_noun	debitus
form_noun	forma
scene_noun	scaena
natural_adj	naturalis
character_noun	character
effect_noun	effectus
pain_noun	poena
state_noun	status
doubt_noun	dubitare
