face_noun	facies
people_noun	populus
turn_verb	tornare
moment_noun	momentum
voice_noun	vocem
place_noun	platea
pass_verb	passus
hour_noun	hora
cry_verb	quiritare
sort_noun	sortem
poor_adj	pauper
suppose_verb	supponere
course_noun	cursus
remember_verb	rememorari
table_noun	tabula
letter_noun	littera
part_noun	partem
fact_noun	factum
sure_adj	securus
matter_noun	materia
sense_noun	sensus
air_noun	aer
question_noun	quaestionem
marry_verb	marītāre
money_noun	moneta
move_verb	movere
minute_noun	minuta
idea_noun	idea
strange_adj	extraneus
large_adj	largus
appear_verb	apparere
person_noun	persona
chair_noun	cathedra
catch_verb	captare
silence_noun	silentium
case_noun	casus
expect_verb	expectare/exspectare
point_noun	pungere
add_verb	addere
reason_noun	rationem
carry_verb	carrum
wall_noun	vallum
tone_noun	tonus
stay_verb	stare
possible_adj	possibilis
story_noun	historia
paper_noun	papyrus
nature_noun	natura
human_adj	humanus
family_noun	familia
country_noun	contra
enter_verb	intrare
remain_verb	remanere
continue_verb	continuare
clear_adj	clarus
different_adj	differentem
dinner_noun	ieiunus
power_noun	potis
spirit_noun	spiritus
pay_verb	pacare
able_adj	habilem
position_noun	positionem
allow_verb	allocare
round_adv	rotundus
silent_adj	silentem
real_adj	res
exclaim_verb	exclamare
conversation_noun	conversationem
pleasure_noun	placere
impossible_adj	impossibilis
order_noun	ordinem
save_verb	salvus
repeat_verb	repetere
view_noun	videre
fine_adj	finis
uncle_noun	avunculus
note_noun	notare
subject_noun	subjectum
receive_verb	recipere
usual_adj	usus
marriage_noun	maritatus
trouble_noun	turbidus
companion_noun	com+panis
party_noun	partire/partiri
present_adj	praesentem
beauty_noun	bellus
consider_verb	considerare
presence_noun	praesentia
quiet_adj	quies
offer_verb	offerre
duty_noun	debitus
form_noun	forma
scene_noun	scaena
natural_adj	naturalis
character_noun	character
effect_noun	effectus
pain_noun	poena
state_noun	status
doubt_noun	dubitare
change_verb	cambire
age_noun	aetatem
chance_noun	cadens
servant_noun	servus
reply_verb	*replicare
certain_adj	certus
